Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Taxi Driver,2021,70,8,"Action, Crime, Drama            ",2738
Totally Spies!,2001,22,7.1,"Animation, Action, Adventure            ",10482
D.P.,2021,50,8.2,"Action, Crime, Drama            ",5306
Do You Like Brahms?,2020,65,7.7,"Drama, Music, Romance            ",854
Tower of God,2020,23,7.7,"Animation, Action, Adventure            ",5600
Thirty Nine,2022,60,7.7,"Drama, Romance            ",1702
Signal,2016,80,8.5,"Crime, Drama, Fantasy            ",6961
My Roommate Is a Gumiho,2021,65,7.7,"Comedy, Fantasy, Romance            ",2758
Sell Your Haunted House,2021,65,7.6,"Comedy, Fantasy, Horror            ",837
Anna,2022,60,7.6,Drama            ,314
Sijipeuseu: The Myth,2021,70,7,"Action, Drama, Fantasy            ",3896
Her Legend,2013,,7.4,"Drama, Romance            ",80
Prison Playbook,2017,90,8.5,"Comedy, Drama            ",3341
Fight for My Way,2017,70,8.1,"Comedy, Romance            ",6296
Weightlifting Fairy Kim Bok-Joo,2016,60,8.4,"Comedy, Romance            ",8913
A Korean Odyssey,2017,75,8,"Comedy, Fantasy, Horror            ",4758
Oh My Venus,2015,60,7.8,"Comedy, Drama, Romance            ",4979
Love Alarm,2019,50,6.8,"Comedy, Drama, Romance            ",5654
The Marvelous Misadventures of Flapjack,2008,11,7.8,"Animation, Short, Adventure            ",14117
The Devil Judge,2021,75,8.3,"Crime, Drama, Mystery            ",2594
Just Between Lovers,2017,70,8.2,"Drama, Romance            ",2067
Yumi's Cells,2021,70,8.2,"Comedy, Drama, Romance            ",2044
Suspicious Partner,2017,30,7.8,"Comedy, Crime, Drama            ",4991
Meteorological Administration People: Office Romance Cruelty,2022,60,7.1,"Drama, Romance            ",1877
Cinderella and the Four Knights,2016,60,7.4,"Comedy, Romance            ",4017
Stove League,2019,60,8.3,"Drama, Sport            ",887
The God of High School,2020,24,7.3,"Animation, Action, Adventure            ",6338
Her Private Life,2019,75,7.7,"Comedy, Romance            ",4123
The Great Queen Seondeok,2009,60,8.6,"Biography, Drama, History            ",1195
Ghost Doctor,2022,60,7.9,"Comedy, Fantasy, Romance            ",1284
Black,2017,50,7.9,"Crime, Drama, Fantasy            ",3945
Red Sleeve,2021,70,8.6,"Drama, History, Romance            ",1722
Dr. Brain,2021,60,6.7,"Drama, Mystery, Sci-Fi            ",2309
My Country: The New Age,2019,80,8.2,"Action, Drama, History            ",1930
Alhambeura Goongjeonui Chooeok,2018,60,7.8,"Drama, Romance, Sci-Fi            ",5641
When the Weather is Fine,2020,60,7.8,"Drama, Romance            ",1255
