Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Graceful Family,2019,80,7.6,"Drama, Mystery, Romance            ",339
A Gentleman's Dignity,2012,65,8,"Comedy, Drama, Romance            ",1377
Bad Guys 2: City of Evil,2017,,7.5,"Action, Crime, Drama            ",252
Pasta,2010,,7.6,"Comedy, Drama, Romance            ",923
"Please Come Back, Mister",2016,60,7.3,"Comedy, Drama, Fantasy            ",561
Life on Mars,2018,65,8.1,"Crime, Drama, Mystery            ",822
Stairway to Heaven,2003,,7.9,Romance            ,691
Something About 1%,2016,40,7.7,"Comedy, Romance            ",1210
Chimera,2021,,7.3,"Mystery, Thriller            ",341
The Game: Towards Zero,2020,35,7.2,"Crime, Drama, Fantasy            ",235
Winter Sonata,2002,60,8,Romance            ,1131
All In,2003,,7.8,"Action, Drama, Romance            ",378
"I'm Sorry, I Love You",2004,70,8.4,"Drama, Romance            ",1200
Kamen Rider W,2009,25,8.2,"Action, Adventure, Comedy            ",565
Top Management,2018,,7.1,"Comedy, Romance            ",163
Mask,2015,,7.6,"Drama, Romance            ",412
Never twice,2019,120,8.2,"Comedy, Drama, Romance            ",74
Jaebeoljib Maknaeadeul,2022,,,"Drama, Fantasy, Romance            ",
Iljimae,2008,60,8,"Action, History, Romance            ",997
Dear X Who Doesn't Love Me,2022,20,6.4,"Drama, Romance            ",25
Missing You,2012,65,7.6,"Drama, Romance            ",836
Black Knight,2017,,6.5,"Fantasy, Romance            ",434
7 Fates: Chakho,2022,,8.9,"Animation, Fantasy            ",101
That Man Oh Soo,2018,,6.5,"Fantasy, Romance            ",268
The Girl Who Sees Smells,2015,60,7.1,"Comedy, Drama, Fantasy            ",1183
Soolkkundoshiyeojadeul,2021,35,8,"Comedy, Drama            ",251
Smile PreCure!,2012,24,6.2,"Animation, Action, Adventure            ",399
American Hustle Life,2014,,8.7,Reality-TV            ,335
Rosy Lovers,2014,,7.8,"Drama, Romance            ",41
Byeonhyeokui Sarang,2017,,6.9,"Comedy, Romance            ",698
Operation Proposal,2012,65,6.8,"Comedy, Fantasy, Romance            ",150
Duel,2017,60,7.6,"Crime, Sci-Fi, Thriller            ",234
Miss Korea,2013,,7.1,"Comedy, Drama, Romance            ",119
Shining Inheritance,2009,70,7.6,"Comedy, Drama, Romance            ",869
Reflection of You,2021,64,6.8,"Drama, Thriller            ",264
Tracer,2022,60,7.7,"Action, Drama, Thriller            ",76
Only One Person,2021,,7.3,"Drama, Romance            ",217
High Kick!,2006,30,8.4,"Comedy, Drama, Romance            ",399
A Witch's Love,2014,,7.3,"Comedy, Romance            ",501
Royal Secret Agent,2020,65,7.2,"Comedy, Mystery, Romance            ",270
Class of Lies,2019,70,7.7,"Crime, Drama, Mystery            ",454
Oh My Ladylord,2021,,5.9,"Comedy, Romance            ",217
Tree with Deep Roots,2011,,8.2,"Drama, History            ",508
My Korean Jagiya,2017,30,8.1,"Comedy, Romance            ",30
Smile Again,2010,,8.3,"Comedy, Family, Romance            ",47
Emergency Couple,2014,60,7.4,"Comedy, Drama, Romance            ",1679
Beautiful Mind,2016,60,7.8,"Drama, Mystery, Romance            ",752
Peter Pan and the Pirates,1990,30,7.2,"Animation, Adventure, Family",664
Black Dog,2019,75,7.6,Drama         ,189
Orange Marmalade,2015,50,6.4,"Fantasy, Romance ",587
Kamen Rider Ryuki,2002,25,7.8,"Action, Adventure, Drama  ",594
Flower Boy Ramyun Shop,2011,45,6.9,"Comedy, Romance    ",779
Zak Storm,2016,22,6.4,"Animation, Action, Adventure       ",179
Super Wings!,2015,15,5.9,"Animation, Adventure, Family",333
The Secret Life of My Secretary,2019,35,7.3,"Comedy, Romance ",1050
Gumiho: Tale of the Fox's Child,2010,,7.5,"Drama, Fantasy, Thriller",34
Two Cops,2017,,7.1,"Comedy, Fantasy, Romance  ",427
The Killer's Shopping List,2022,60,7,"Comedy, Mystery, Thriller     ",142
"Sassy, Go Go",2015,60,7.3,"Comedy, Drama, Romance    ",929
Kamen Rider Ex-Aid,2016,24,7.8,"Action, Adventure, Comedy    ",430
Tobot,2018,22,7.2,"Animation, Action, Adventure         ",44
Love Affairs in the Afternoon,2019,,7,"Drama, Romance        ",136
Secret Door,2014,,7.3,"Drama, History      ",84
Dinner Mate,2020,35,7.4,"Comedy, Drama, Romance   ",426
Radio Romance,2018,70,6.7,"Drama, Romance     ",927
My Princess,2011,65,7,"Comedy, Drama, Romance      ",850
Dae Jo Yeong,2006,60,8.2,"Biography, Drama, History     ",153
Henry Hugglemonster,2006,22,5.1,"Animation, Adventure, Family",389
Drama Stage,2017,70,8.1,Drama      ,30
Merry Queer,2022,,,,
Queen In-hyun's Man,2012,45,7.9,"Fantasy, Romance       ",1147
Dark Hole,2021,60,6,"Action, Fantasy, Mystery        ",425
EXO Next Door,2015,15,7,"Comedy, Drama, Romance     ",1400
When a Man Loves,2013,,6.9,Romance            ,277
When I Was the Most Beautiful,2020,,6.9,"Drama, Romance          ",107
Beautiful Gong Shim,2016,70,7.3,"Comedy, Crime, Drama   ",928
Horse Doctor,1998,70,7.5,"Drama, History, Romance      ",153
Bride of the Century,2014,67,7,"Drama, Fantasy, Romance       ",521
The King Loves,2017,,7.3,"Drama, Romance      ",285
You're All Surrounded,2014,58,7.5,"Action, Comedy, Mystery   ",1267
Bread Barbershop,2020,,7.3,"
Animation     ",141
Catch the Ghost,2019,70,7.4,"Comedy, Drama, Mystery      ",411
Secret Love,2013,,8,"Drama, Romance    ",1262
Becoming Witch,2022,,6.4,"Comedy, Drama      ",18
Reunited Worlds,2017,,7.2,"Fantasy, Romance        ",251
Money Flower,2017,,7.5,Drama         ,298
Nokdu Flower,2019,,7.6,Drama        ,139
Welcome 2 Life,2019,35,7.2,"Comedy, Drama, Fantasy    ",156
Temperature of Love,2017,,7,"Comedy, Romance       ",554
Flower Boy Next Door,2013,,7.2,"Comedy, Romance        ",1687
The Last Empress,2018,,7.1,Drama         ,571
Crime Puzzle,2021,,7.1,"Drama, Mystery, Romance  ",72
Mai geol,2005,60,7.8,"Comedy, Drama, Romance  ",1614
Robocar Poli,2011,11,6,"Animation, Adventure, Comedy    ",126
Warm and Cozy,2015,,6.8,"Comedy, Romance         ",418
Time Traveler Luke,2020,20,7.7,"Animation, Action, Adventure    ",12
Rainbow Ruby,2016,11,6.7,"Animation, Adventure, Comedy  ",80
Touch,2020,,7,"Comedy, Romance     ",7.8
Ho Goo's Love,2015,,7.4,"Comedy, Romance    ",228
Baradeon Bada,2021,80,8.4,"Music, Reality-TV       ",107
Warrior Baek Dong Soo,2011,,7.9,"
Action        ",520
Remember: War of the Son,2015,60,7.8,"Drama, Thriller     ",1026
Witch's Court,2017,,7.4,"Crime, Drama, Mystery   ",427
Beautiful World,2019,60,8.2,"Drama, Mystery       ",142
The King's Face,2014,,6.9,"Action, Drama, Romance        ",118
My Wife's Having an Affair This Week,2016,,7.4,"Comedy, Drama, Romance      ",288
What's with This Family,2014,65,7.9,"Comedy, Drama, Romance  ",338
Whisker Haven Tales with the Palace Pets,2015,,7.9,Animation        ,98
Youn's Kitchen,2017,100,8.8,Reality-TV     ,116
Keuleiji Leobeu,2022,,7.1,"Comedy, Romance, Drama     ",447
"Baker King, Kim Tak Goo",2010,90,8,"Drama, Family, Romance     ",437
The Spies Who Loved Me,2020,35,6.2,"Action, Comedy, Romance      ",170
Lie to Me,2011,,7.1,"Comedy, Drama, Romance    ",1364
Athena: Goddess of War,2010,,6.5,"Action, Romance, Thriller ",424
Graceful Friends,2020,70,6.5,"Crime, Drama, Mystery    ",151
Bakugan Battle Brawlers: Gundalian Invaders,2010,,6,"Animation, Action      ",797
Nine: Nine Time Travels,2013,52,8.2,"Fantasy, Mystery, Romance     ",510
The Man Living in Our House,2016,,6.7,"Comedy, Drama, Romance        ",312
Psychopath Diary,2019,75,7.8,"Comedy, Crime, Mystery    ",560
Angel Eyes,2014,,7.4,Drama      ,443
Soul Mechanic,2020,35,7.3,"Comedy, Drama, Romance   ",121
Please Don't Date Him,2020,60,6.9,"Comedy, Drama, Romance      ",176
"Gwanggaeto, the Great Conqueror",2011,45,8.6,"Biography, Drama, History      ",104
We Got Married,2008,71,7.3,Reality-TV      ,126
"Marriage, Not Dating",2014,65,7.5,"Comedy, Romance      ",1069
"King's Daughter, Soo Baek Hyang",2013,,7.9,"Action, Drama, Romance     ",191
Diary of a Night Watchman,2014,60,6.2,"Drama, Fantasy           ",138
Untouchable,2017,,7.4,Drama      ,65
Little Forest,2019,80,7.8,Reality-TV       ,100
L.U.C.A.: The Beginning,2021,60,6.5,"Action, Fantasy, Sci-Fi       ",438
Band of Sisters,2017,,8.4,"Drama, Romance        ",28
Into the Ring,2020,30,7.2,"Comedy, Drama, Romance    ",265
My Only One,2018,,7.1,"Comedy, Drama, Romance        ",112
My Absolute Boyfriend,2000,35,7.1,"Comedy, Fantasy, Romance     ",317
Kamen Rider Kuuga,2000,30,8.2,"Action, Adventure, Drama      ",464
Haechi,2019,35,7.6,"Action, Drama, History   ",297
49 Il,2011,60,8,"Drama, Fantasy, Romance   ",1415
Kamen Rider Decade,2009,25,6.9,"Action, Adventure, Drama     ",460
"Jang Ok-jung, Living by Love",2013,,7.6,"Drama, History, Romance    ",247
Shut Up Family,2012,25,8.3,"Comedy, Romance      ",28
High Class,2021,,6.9,"Drama, Mystery        ",127
Larva,2011,2,7.1,"Animation, Short, Comedy         ",632
Confession,2019,,7.7,Drama      ,176
The Legend,2007,,7.8,"Drama, Fantasy, History",213
Protect the Boss,2011,65,7,"Comedy, Drama, Romance  ",670
RedaKai,2011,22,5.4,"Animation, Action, Adventure    ",255
Children of Nobody,2018,30,7.8,"Crime, Drama, Mystery       ",241
Cheongdamdong Scandal,2014,,8.9,"Drama, Mystery, Romance    ",22
Night Light,2016,,6.9,Drama           ,307
Kim Soo Ro,2010,,7,"Drama, Romance         ",138
The World That They Live In,2008,65,7.5,"Drama, Romance       ",252
The Package,2017,,7.4,"Adventure, Comedy, Drama       ",360
Wild Romance,2012,,7.2,"Comedy, Romance, Sport      ",274
Tale of A-rang,2012,,7.3,"Action, Comedy, Fantasy       ",823
New World,2021,,7.6,Reality-TV          ,290
Gunman in Joseon,2014,,7,"Action, History, Romance          ",363
Glass Slippers,2002,,7.6,"Drama, Romance      ",75
A-TEEN,2018,10,7.7,"Short, Comedy, Drama            ",201
Perfume,2019,35,7.2,"Comedy, Romance           ",180
My Love Eun Dong,2015,65,7.9,"
Romance           ",333
Scent of a Woman,2011,,7.8,"Drama, Romance         ",514
A Man Called God,2010,50,6.2,"Action, Romance          ",189
Spring Must Be Coming,2019,35,7.8,"Drama, Fantasy          ",58
Cleaning Up,2022,,7.2,"Comedy, Crime, Drama    ",28
Jang Bo Ri Is Here,2014,60,8,"Drama, Romance           ",77
Pororo the Little Penguin,2003,,6.3,"Animation, Family          ",92
God's Gift: 14 Days,2014,,8,"Fantasy, Mystery, Thriller     ",532
Bad Love,2007,,7.5,"Drama, Romance    ",70
StarBeam,2020,,7.3,"Animation, Action, Adventure        ",92
The Princess' Man,2011,,8.2,"Action, Drama, History   ",564
Surplus Princess,2014,45,6.5,"Comedy, Drama, Fantasy      ",252
Goodbye Mr. Black,2016,,7.1,"Drama, Thriller     ",210
Ms. Hammurabi,2018,80,7.5,"Comedy, Drama, Romance     ",584
Tree of Heaven,2006,70,7.5,"Drama, Romance          ",141
Kkondae Intern,2020,32,7.3,"Comedy, Drama         ",179
Best Lover,2016,35,6.8,"Drama, Romance        ",84
"Lee San, Wind of the Palace",2007,,8.1,"Drama, History         ",565
Three Meals a Day,2014,,8.5,Reality-TV          ,66
Tobot Galaxy Detectives,2020,,6.2,Animation          ,15
Search,2020,60,7,"Mystery, Thriller            ",440
The Good Wife,2016,,7,"Crime, Drama        ",132
Eon Kid,2007,,8.2,"Animation, Action, Adventure      ",417
Trap,2019,,7.2,Thriller        ,136
The Snow Queen,2006,60,7.8,"Drama, Romance        ",217
Time,2018,,7.1,Drama         ,153
Pinkfong Wonderstar,2019,,8.1,"Animation, Comedy, Drama   ",22
"Hong Gil Dong, the Hero",2008,,7.2,"Action, Comedy, Drama       ",221
One More Happy Ending,2016,70,7.3,"Comedy, Romance           ",343
The Greatest Marriage,2014,,6.7,"Comedy, Drama, Romance    ",138
Moorim School,2016,,6.9,"Action, Drama, Fantasy          ",627
The Hungry and the Hairy,2021,,7.6,Reality-TV          ,254
Modern Farmer,2014,,7.4,"Comedy, Romance           ",243
Lookout,2017,,7.6,Action         ,333
Monster,2016,,7.8,"Crime, Drama, Romance    ",80
Tickety Toc,2011,11,3.6,"Animation, Family        ",272
The King's Dream,2012,,7.2,"Drama, History            ",88
LoliRock,2014,26,7.2,"Animation, Action, Adventure    ",469
Witch Amusement,2007,60,6.8,"Comedy, Drama, Romance   ",82
High School King of Savvy,2014,70,7.1,"Comedy, Romance      ",375
On the Verge of Insanity,2021,65,7.5,"Comedy, Drama      ",75
Peach of Time,2021,30,7.3,"Drama, Romance        ",158
Padam Padam,2011,,7.7,"Fantasy, Romance       ",219
Entertainer,2016,,6.6,"Comedy, Drama, Romance        ",342
Giant,2010,,8.1,"Action, Drama, Romance         ",139
Hush,2020,70,7.2,"Comedy, Drama      ",94
Weekly Idol,2011,60,7.6,"Game-Show, Talk-Show   ",220
"I Do, I Do",2012,,6.7,"Comedy, Drama   ",192
Peng,2021,18,6.1,Comedy         ,30
Flower Crew: Joseon Marriage Agency,2019,70,6.8,"Comedy, History, Romance  ",231
Handsome Guy and Jung-Eum,2018,,6.7,"Comedy, Romance     ",332
Running Man,2017,,8.4,"Animation, Comedy   ",37
Juvenile Delinquency,2022,35,7.4,"Drama, Romance      ",35
2 Days 1 Night,2007,,8.3,"Adventure, Comedy, Family    ",232
Mistress,2018,60,8.4,"Mystery, Romance   ",90
Miracle,2022,,7.2,Romance   ,28
Mini Force: The Beginning,2014,20,4.5,"Animation, Action, Adventure         ",61
Uwolhan Halu,2022,,5.9,"Drama, Thriller     ",68
The Genius,2013,,9,Game-Show   ,152
Emperor of the Sea,2004,22,7.9,Drama      ,1242
The Wacky World of Tex Avery,1997,30,4.8,"Animation, Comedy, Family   ",570
When the Devil Calls Your Name,2019,75,7.5,"Drama, Fantasy, Music     ",185
Di-eo Ma-i Peu-ren-jeu,2016,70,8.2,"Comedy, Drama    ",385
Devilish Joy,2018,65,7.3,Romance     ,490
Five Fingers,2012,,7.2,"Drama, Romance   ",137
The Greatest Divorce,2018,,7.5,"Comedy, Romance   ",68
My Daughter Seo Young,2012,,8,"Comedy, Drama, Family  ",95
The Return of Superman,2013,,8.5,Reality-TV      ,116
YooHoo and Friends,2011,,6.4,"Animation, Comedy, Family       ",45
Missing: The Other Side,2020,70,7.7,"Drama, Fantasy, Mystery    ",305
Begin Again,2017,,8.9,Reality-TV       ,15
Sixth Sense,2020,90,8.4,"Comedy, Game-Show, Mystery   ",123
The Amazing Spiez!,2009,22,5.5,"Animation, Action, Comedy       ",297
Kamen Rider Den-O,2007,25,7.5,"Action, Adventure, Comedy      ",464
Gye Baek,2011,,7.7,"Drama, History, Romance      ",161
Mother of Mine,2019,,7.8,"Drama, Romance       ",58
Rich Man,2018,65,6.7,"Comedy, Romance   ",689
Youth Over Flowers,2014,90,8.7,Reality-TV  ,50
Thank You,2007,60,7.7,Drama        ,200
The Miracle,2016,15,6.3,"Short, Comedy, Drama   ",217
Ja Myung Go,2009,,7.5,"Action, Drama, Fantasy     ",148
Sabotage City,2021,,6.6,"Drama, Mystery, Thriller    ",67
Blind,2022,,,"Drama, Mystery, Thriller      ",
Level Up,2019,,6.6,"Comedy, Romance            ",186
The Greatest Love,2011,,7.8,"Comedy, Drama, Romance        ",1081
Real Men,2013,,8,Reality-TV      ,23
High-End Crush,2015,15,7.2,"Comedy, Romance      ",357
Blade Man,2014,,6.4,"Fantasy, Romance   ",342
Love Rain,2012,65,7.6,"Comedy, Drama, Romance            ",1512
Prosecutor Princess,2010,70,7.1,"Drama, Romance",286
Power Rangers Dino Force Brave,2017,15,7.2,Action          ,29
The Accidental Couple (That Fool),2009,,7.6,"Comedy, Drama, Romance     ",136
The Rebel Hong Gil Dong,2017,,8.2,"Action, Drama, History       ",356
The Great Ambition,2002,120,7.8,Drama         ,20
The Iron Empress,2009,,6.9,"Biography, Drama, History   ",42
Excellent Shaman Ga Doo Shim,2021,20,7.1,"Fantasy, Mystery      ",290
"Village Survival, the Eight",2018,80,8.5,"Game-Show, Reality-TV          ",61
Love Cells,2014,,5.5,"Comedy, Romance    ",107
"Bad Thief, Good Thief",2017,75,8.2,"Crime, Drama       ",88
"The King of Tears, Lee Bang-won",2021,,3.6,"Drama, History       ",132
Save the Last Dance for Me,2004,,8,Romance       ,93
Revolutionary Sisters,2021,70,6,"Comedy, Drama, Mystery     ",26
D-Day,2015,65,7.7,"Drama, Romance          ",279
Heartless City,2013,60,8.1,"Action, Crime, Drama      ",484
Lucky Romance,2016,60,7,"Comedy, Romance        ",656
Lonely Enough to Love,2020,,6.8,"Comedy, Romance     ",90
Princess Aurora,2013,39,7.8,"Comedy, Drama, Romance         ",16
Drama Special,2010,,6.5,Drama      ,24
Choco Bank,2016,17,6.3,Drama    ,138
Master in the House,2017,,8.7,Reality-TV   ,145
Ms. Temper & Nam Jung-Gi,2016,,7.2,Drama   ,260
Bite Sisters,2021,,7.1,"Fantasy, Romance     ",54
Successful Story of a Bright Girl,2002,60,7.9,Drama     ,98
Final Faction,2020,,8.2,"Animation, Action, Comedy       ",17
Hwang Jin Yi,2006,,8,Drama       ,220
Vampire Detective,2016,,6.6,"Crime, Fantasy         ",215
Tuoi Thanh Xuan,2014,,7.8,Drama        ,9
God of Study,2010,65,7.2,"Comedy, Romance    ",174
Who Are You,2013,,6.7,"Fantasy, Horror, Mystery     ",299
Circle,2017,60,8.1,"Mystery, Sci-Fi    ",463
The Best Lover,2015,,7.3,"Drama, Romance    ",11
Marry Me Now,2018,70,7.6,"Drama, Family, Romance          ",63
Missing Noir M,2015,,7.9,"Action, Crime, Thriller    ",239
Law of the Jungle,2011,,8.3,Reality-TV      ,48
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,2018,25,7.4,"Action, Adventure, Comedy           ",145
Woman of 9.9 Billion,2019,35,7.2,"Drama, Mystery, Thriller ",79
The Return of Iljimae,2009,,7.9,"Action, Drama, Romance   ",92
When Time Stops,2018,55,6.3,Fantasy       ,213
Secret Campus,2006,60,8.9,"Drama, Mystery, Romance  ",47
The Time We Were Not in Love,2015,60,7.2,"Comedy, Drama, Romance    ",388
Kamen Rider Kabuto,2006,30,7.8,"Action, Adventure, Drama   ",466
Let's Eat,2013,50,7.7,"Comedy, Romance      ",615
Sixteen,2015,,7.6,"Drama, Music, Reality-TV  ",53
Diary of a Prosecutor,2019,,8.1,Drama          ,146
After School: Lucky or Not,2013,50,6.9,Comedy         ,49
Sweet Secrets,2014,,8.4,Romance          ,28
Alone in Love,2006,60,8.7,"Drama, Romance    ",271
Kamen Rider Wizard,2012,30,6.5,"Action, Adventure, Comedy  ",3106
Dark Moon: The Blood Altar,2022,,8.2,"Action, Fantasy ",18
Three Days,2014,"<span class=""runtime"">65 min</span>",7.2,"Action, Thriller   ",201
Hai seukool,2014,50,7.2,"Drama, Fantasy, Romance    ",569
Reign: The Conqueror,1997,30,7,"Animation, Action, Adventure        ",511
King of Masked Singer,2015,100,6.7,"Music, Reality-TV            ",56
The Royal Gambler,2016,,7.5,"Drama, History    ",250
Player,2018,65,7.8,"Comedy, Crime, Drama         ",334
Wonderful Days,2014,65,7.3,"Drama, Romance            ",57
"I Summon You, Gold!",2013,,7.9,"Comedy, Romance    ",44
Shine or Go Crazy,2015,,7.3,"Drama, Fantasy, Romance   ",221
"Tayo, the Little Bus",2010,11,5.3,"Animation, Comedy, Family          ",157
The One & Only,2011,4,8.2,"Drama, Romance, Thriller     ",19
Kong: The Animated Series,2000,30,5.6,"Animation, Action, Adventure       ",223
Uncle,2021,,8.3,"Comedy, Drama, Family           ",77
Let Me Be Your Knight,2021,70,7.5,"Comedy, Drama, Music ",168
My Lovely Girl,2014,60,6.3,Drama           ,331
Touching You,2016,15,7.1,"Comedy, Romance ",82
Priest,2018,,7.3,Horror         ,119
The Third Charm,2018,75,6.1,"Comedy, Romance      ",333
Get Revenge,2020,,7.5,"Drama, Mystery  ",68
You Are the Best!,2013,80,7.3,"Comedy, Drama, Romance   ",253
BTS: Burn the Stage,2018,30,9,Documentary       ,1647
I Need Romance 3,2014,45,7.4,"Comedy, Drama, Romance   ",144
Summer Scent,2003,,6.9,Romance     ,213
Produce 48,2018,,7.8,"Music, Reality-TV      ",98
My Fair Lady,2009,,6.9,"Comedy, Romance   ",536
A Clean Sweep,2022,,,Sport          ,
It's Okay to Be Sensitive,2018,,8,"Comedy, Drama, Romance     ",21
Rose Mansion,2022,45,7,"Crime, Mystery, Thriller      ",8
Kwaegeol Chun-hyang,2005,60,7.7,"Comedy, Drama, Romance        ",476
Fantastic,2016,,7.2,"Drama, Romance     ",138
Canimals,2011,7,7,"Animation, Family     ",94
Joseon Exorcist,2021,70,7.1,"Action, Fantasy, History   ",122
Kamen Rider Gaim,2013,25,8,"Action, Adventure, Comedy   ",546
Team Galaxy,2006,26,6.2,"Animation, Adventure, Comedy      ",835
Jang Yeong-Sil,2016,,7.9,"Biography, Drama, History        ",101
Hospital Ship,2017,35,6.8,Romance         ,379
One the Woman,2021,69,7.1,"Comedy, Drama, Romance    ",385
"Smile, You",2009,65,8.2,"Family, Romance    ",93
Cubix: Robots for Everyone,2001,24,6,"Animation, Family, Sci-Fi ",452
Pride and Prejudice,2014,,6.9,"Drama, Romance  ",196
My Romantic Some Recipe,2016,11,8,"Comedy, Romance",61
Unexpected You,2012,,7.7,"Comedy, Drama, Romance  ",72
Kingdom: Legendary War,2021,90,7.7,"Music, Reality-TV ",94
Twenty-Twenty,2020,,7.7,Drama        ,65
Treehouse Detectives,2018,,7.8,"Animation, Short, Mystery   ",92
Transformers: Robots in Disguise,2000,22,6.6,"Animation, Action, Adventure      ",549
Tomorrow's Cantabile,2014,60,7.1,"Comedy, Drama, Music      ",291
Discovery of Love,2014,60,7.2,"Comedy, Romance        ",295
Kamen Rider Ghost,2015,25,6.1,"Action, Adventure, Comedy        ",219
Don't Look Back: The Legend of Orpheus,2013,65,7.6,"Drama, Romance, Thriller",234
Your Honor,2018,,7.7,Drama        ,245
Cheers to Me,2015,25,6.3,,8
You Are My Destiny,2008,,7.8,"Drama, Family, Romance   ",74
Five Children,2016,70,7.7,"Comedy, Drama, Romance     ",111
YooHoo to the Rescue,2019,,7,Family           ,55
Less Than Evil,2018,35,7.6,"Crime, Drama      ",94
Fates and Furies,2018,,7.1,"Drama, Romance    ",88
Final Fantasy: Unlimited,2001,24,5.9,"Animation, Adventure, Fantasy       ",675
Mama Fairy and the Woodcutter,2018,,5.3,"Comedy, Fantasy, Romance       ",142
Aggressive Retsuko,2016,,8.2,"Animation, Comedy, Musical           ",1098
Kamen Rider OOO,2010,24,7.8,"Action, Adventure, Comedy   ",475
Unasked Family,2019,,7.4,"Comedy, Drama, Romance   ",12
Argon,2017,,7.3,Drama         ,280
Green Rose,2005,60,8.1,"Drama, Mystery, Romance ",98
Whisper,2017,,7.1,Drama        ,188
The Kingdom of the Winds,2008,,7.6,"Drama, Fantasy, History          ",1069
W.H.Y.: What Happened to Your Relationship,2018,12,8.1,"Short, Comedy, Drama   ",40
Bad Boy,2010,60,7.6,"Drama, Mystery, Romance     ",257
Go Ho's Starry Night,2016,20,7.5,"Comedy, Romance     ",320
Second 20s,2015,62,7.6,Drama     ,354
Uchu Sentai Kyuranger,2017,25,6.9,"Action, Adventure, Comedy    ",144
The Chaser,2012,,7.7,"Action, Crime, Mystery      ",58
Justice,2019,,7.7,"Crime, Drama, Mystery  ",84
Grand Prince,2018,,7.5,"Drama, Romance     ",173
Monstar,2013,,6.8,"Drama, Music, Romance        ",239
Mystery Queen,2017,60,7.4,"Comedy, Mystery   ",214
Kamen Rider 555,2003,25,8.3,"Action, Adventure, Drama     ",489
Room No. 9,2018,60,7.7,"Drama, Fantasy, Mystery      ",91
Miniforce X,2019,,6,Animation     ,21
Kamen Rider Blade,2004,25,7.6,"Action, Adventure, Drama  ",321
The Great Seer,2012,,7.7,"Action, History, Romance    ",75
Heart Surgeons,2018,35,7.5,Drama         ,54
Mask Masters,2013,22,8.6,"Animation, Action, Adventure  ",17
Little Charmers,2015,22,5.2,"Animation, Short, Adventure ",139
Endless Love,2014,,7.2,"Action, Drama, Romance ",33
"Ms. Ma, Nemesis",2018,,7.4,Mystery           ,51
Children of a Lesser God,2018,60,7,"Drama, Fantasy, Mystery         ",124
Kamen Rider Agito,2001,30,7.9,"Action, Adventure, Drama     ",420
My Fellow Citizens,2019,,7,Comedy   ,216
Happy If You Died,2018,35,7,"Comedy, Fantasy, Romance    ",118
Money Game,2020,70,8,Drama         ,53
Which Star Are You From,2006,60,7.2,"Comedy, Drama, Romance   ",38
Queendom,2019,90,8,"Music, Reality-TV     ",91
Missing 9,2017,,6.9,"Adventure, Mystery   ",390
Kongsuni and Friends,2017,,5.2,Animation    ,27
Korean Ghost Stories,2008,,7.1,Horror         ,22
The Suspicious Housekeeper,2013,,7.5,"Drama, Mystery     ",159
Casino,2022,,,"Action, Crime, Drama     ",
Dae Jang-Geum Is Watching,2018,60,8.2,"Comedy, Romance     ",46
The Village: Achiara's Secret,2015,,7.1,"Mystery, Thriller          ",230
Immortal Yi Soon-shin,2004,60,7.6,"Action, Biography, Drama     ",111
Hello My Teacher,2005,70,7.1,"Drama, Romance      ",242
Jugglers,2017,65,7.1,"Comedy, Romance          ",281
Real Men 300,2018,70,8.6,"Documentary, Drama, Reality-TV   ",5
Dating Class,2019,,7.6,Romance       ,17
Youn's Stay,2021,,8.7,Reality-TV    ,59
Pretty Boy,2013,,6.3,"Comedy, Romance    ",532
Last,2015,,7.4,"Crime, Drama, Thriller       ",201
Painter of the Wind,2008,65,7.8,"Drama, History, Romance  ",203
Happy Together,1999,65,7.4,"Comedy, Drama, Romance   ",37
The Three Musketeers,2014,,7.3,"Action, Adventure, Drama   ",121
Summer Vacation,2020,,8.8,Reality-TV       ,6
Item,2019,35,6.4,"Fantasy, Mystery       ",161
Fly High Butterfly,2021,,,Drama         ,117
Can We Get Married?,2012,56,6.5,"Comedy, Romance   ",117
Chakhanmanyeojeon,2018,35,7.4,Drama      ,100
Life Is Beautiful,2010,,8.2,"Family, Romance    ",54
Gracious Revenge,2019,,8.1,"Drama, Romance   ",15
Geunyeoneun Geojitmaleul Neomoo Saranghae,2017,,6.8,"Music, Romance     ",831
Mecard,2018,,6.7,Animation ,30
Passionate Love,2013,,7,"Drama, Romance   ",21
Catch! Teenieping,2020,13,5.8,"Animation, Comedy, Fantasy        ",28
My Runway,2016,25,6.3,"Comedy, Drama, Fantasy       ",272
The Fugitive of Joseon,2013,,7.8,"Drama, History, Thriller    ",94
Heard It Through the Grapevine,2015,,7.9,"Comedy, Drama, Romance   ",84
Hotelier,2001,,7.4,Romance       ,181
All About My Romance,2013,,7.6,"Comedy, Romance        ",86
Second to Last Love,2016,,7.2,"Drama, Romance ",69
Man Who Sets the Table,2017,,6.4,"Drama, Romance     ",29
Hide and Seek,2018,,7.1,Drama          ,44
Sirius,2013,,7.6,"Crime, Drama    ",66
A Poem a Day,2018,65,7.2,"Comedy, Drama   ",217
New Tales of the Gisaeng,2011,,7.7,"Drama, Romance  ",46
Edeonui dongjjok,2008,,7.3,"Action, Drama, Romance      ",185
Spiral Zone,1987,30,7.6,"Animation, Action, Adventure   ",230
Idol Room,2018,60,7.2,"Game-Show, Talk-Show      ",86
House on Wheels,2020,,8.2,Reality-TV      ,36
